1010    11    1 GE1 129.0
1011    12    1 GE2 129.0
1012    13    1 GE3 132.0
1013    14    1 GE4 132.0
1014    2    1 BGO 0.0
1015    50    1 SEGL 0.0
1016    51    1 SEGM 0.0
1017    52    1 SEGR 0.0
1018    4    1 AUX 0.0
1019    4    1 AUX 0.0
1020    11    2 GE1 132.0
1021    12    2 GE2 132.0
1022    13    2 GE3 124.0
1023    14    2 GE4 124.0
1024    2    2 BGO 0.0
1025    50    2 SEGL 0.0
1026    51    2 SEGM 0.0
1027    52    2 SEGR 0.0
1028    4    2 AUX 0.0
1029    4    2 AUX 0.0
1030    11    3 GE1 0.0
1031    12    3 GE2 0.0
1032    13    3 GE3 0.0
1033    14    3 GE4 0.0
1034    2    3 BGO 0.0
1035    50    3 SEGL 0.0
1036    51    3 SEGM 0.0
1037    52    3 SEGR 0.0
1038    4    3 AUX 0.0
1039    4    3 AUX 0.0
1040    11    4 GE1 95.0
1041    12    4 GE2 95.0
1042    13    4 GE3 86.0
1043    14    4 GE4 86.0
1044    2    4 BGO 0.0
1045    50    4 SEGL 0.0
1046    51    4 SEGM 0.0
1047    52    4 SEGR 0.0
1048    4    4 AUX 0.0
1049    4    4 AUX 0.0
1050    11    5 GE1 92.5
1051    12    5 GE2 92.5
1052    13    5 GE3 84.5
1053    14    5 GE4 84.5
1054    2    5 BGO 0.0
1055    50    5 SEGL 0.0
1056    51    5 SEGM 0.0
1057    52    5 SEGR 0.0
1058    4    5 AUX 0.0
1059    4    5 AUX 0.0
1060    11    6 GE1 91.0
1061    12    6 GE2 91.5
1062    13    6 GE3 82.0
1063    14    6 GE4 82.0
1064    2    6 BGO 0.0
1065    50    6 SEGL 0.0
1066    51    6 SEGM 0.0
1067    52    6 SEGR 0.0
1068    4    6 AUX 0.0
1069    4    6 AUX 0.0
1070    11    7 GE1 47.0
1071    12    7 GE2 46.0
1072    13    7 GE3 42.5
1073    14    7 GE4 44.0
1074    2    7 BGO 0.0
1075    50    7 SEGL 0.0
1076    51    7 SEGM 0.0
1077    52    7 SEGR 0.0
1078    4    7 AUX 0.0
1079    4    7 AUX 0.0
1080    11    8 GE1 47.0
1081    12    8 GE2 46.0
1082    13    8 GE3 42.5
1083    14    8 GE4 44.0
1084    2    8 BGO 0.0
1085    50    8 SEGL 0.0
1086    51    8 SEGM 0.0
1087    52    8 SEGR 0.0
1088    4    8 AUX 0.0
1089    4    8 AUX 0.0
1130    11    9 GE1 125.0
1131    12    9 GE2 124.0
1132    13    9 GE3 138.0
1133    14    9 GE4 135.0
1134    2    9 BGO 0.0
1135    50    9 SEGL 0.0
1136    51    9 SEGM 0.0
1137    52    9 SEGR 0.0
1138    4    9 AUX 0.0
1139    4    9 AUX 0.0
1140    11   10 GE1 126.0
1141    12   10 GE2 126.0
1142    13   10 GE3 132.5
1143    14   10 GE4 132.5
1144    2   10 BGO 0.0
1145    50   10 SEGL 0.0
1146    51   10 SEGM 0.0
1147    52   10 SEGR 0.0
1148    4   10 AUX 0.0
1149    4   10 AUX 0.0
1150    11   11 GE1 86.5
1151    12   11 GE2 86.5
